id,source_index,name,class,weapon,families,compatibility_status,level,ap_cost,ap_cap,ap_completeness,solver_compatible,median_id_skillpoints_feasible,source_url,current_builder_url,atree_warning,local_error
nori-mage-monster-38f0a1d56b66,113,General Monster,Mage,Monster,spell_sustained,broken_current_atree,106,23,45,0.5111111111111111,false,true,https://wynnbuilder.github.io/builder/#CM0X6G5mNdbAlEOVUT2emZ3mUmLEaryobtl+UMMfu0,https://wynnbuilder.github.io/builder/#CX0X6G5mQEBLgvWzfcJ05US0s3koXicQShsxNVFBh4,"ATree Error!Frozen Tornado: missing dep: ""Distortion""Cheaper Heal: not reachablePurification: not reachableWarp Blast: missing dep: ""Distortion""Cheaper Ice Snake: not reachable... 5 errors not shown",
nori-mage-lament-a5c94c2f829f,114,ETW Lament Crafted Lightbender,Mage,Lament,spellsteal|spell_sustained|support,migrated_incomplete_atree,,29,45,0.6444444444444445,false,,https://wynnbuilder.github.io/builder/#CMG44mucOayaWnKmec81ZEHm6TOKCwmhPqfyM4OcOcicicicic0d81HWPYPoQoQoQoQYPY441c9c9h9h9h9h9n9I0lQ6va60uzhlcgrAu0,https://wynnbuilder.github.io/builder/#CXG44mucOayaWnKmec81dSYWToXHn97UDdSAl51c9c9h9h9h9h9m9IG4OcOcicicicicOc81HWPYPoQoQoQoQISY4mhcJSI30LxzhlcA,,decodeCraft is not defined
nori-mage-fatal-62fb86a91480,115,Slayer Fatal Riftwalker (Entropy),Mage,Fatal,lootrun,migrated_incomplete_atree,106,17,45,0.37777777777777777,false,false,https://wynnbuilder.github.io/builder/#CM0SVWQcB7NSNErQ6TqmX10irHx46rSnbtBVkEhV3,https://wynnbuilder.github.io/builder/#CX0SVWQcCEkuouKhvaZ6EC0WjEQdmecCShsxbF,,
nori-mage-fatal-08c6d66904b1,116,Budget Fatal Riftwalker,Mage,Fatal,unclassified,migrated_incomplete_atree,106,0,45,0,false,true,https://wynnbuilder.github.io/builder/#CM0SV02E0uvoHRtbZ10qmH15ammecBky-jtsNR3,https://wynnbuilder.github.io/builder/#CX0SV02E0u9ZZskCE60G375KG23ZQomjQ0,,
nori-mage-fatal-5acfd266f506,117,Fatal Rainbow Riftbender,Mage,Fatal,spell_sustained,broken_current_atree,106,24,45,0.5333333333333333,false,true,https://wynnbuilder.github.io/builder/#CM01-WQ6OK3yQG762eGH7ammecBky+TEBhMuT,https://wynnbuilder.github.io/builder/#CX01-WQ6OK3yQG762eGH7ammecCShsxtvii0,"ATree Error!Vacuokinesis: missing dep: ""Distortion""Arcane Restoration: missing dep: ""Pyrokinesis""Meteor Shower: missing dep: ""Distortion""Resilient Light: not reachable",
nori-mage-fatal-cf1bc0fc167d,118,Fatal Arcanist ETW,Mage,Fatal,spell_sustained,broken_current_atree,106,19,45,0.4222222222222222,false,true,https://wynnbuilder.github.io/builder/#CM0G70-Cm90wtm64wm0KEwlnecBUWi08--PChlPB,https://wynnbuilder.github.io/builder/#CX0G70-Cm90wtm64wm0KEwlnecCy0P1mgz-dH,"ATree Error!Wisdom: blocked by: ""Wand Proficiency II""",
nori-mage-singularity-c559c60dd521,119,Singularity Arcanist Madness,Mage,Singularity,spell_sustained,broken_current_atree,106,19,45,0.4222222222222222,false,true,https://wynnbuilder.github.io/builder/#CM0EcG2EKq0QxG05coXA8am0jcN90mXo0m-V6pwRs2,https://wynnbuilder.github.io/builder/#CX0EcG2EKq0QxG05coXA8am0jcQI0W3b1eQ--P4,"ATree Error!Wisdom: blocked by: ""Wand Proficiency II""",
nori-mage-trance-9336f1aff439,120,Trance Riftbender ETF Crafted,Mage,Trance,spell_sustained|support,broken_current_atree,,25,45,0.5555555555555556,false,,https://wynnbuilder.github.io/builder/#CM0X6GO1HWHoo16JxHxHx1RY4WGDYWmamamamamam4u49822J2J2J2J2J2JWJaW88C9C9C9C9C9CnCH2YWmamamamamamau49WHUNSfV+rvqAdm1,https://wynnbuilder.github.io/builder/#CX0X6GO1HWHoo16JxHxHx1RY4WGDYWmamamamamam4u49822J2J2J2J2J2JWJaW88C9C9C9C9C9CnCH2YWmamamamamamau49WHUPuMj+vNdJh0,"ATree Error!Arcane Transfer: Arcanist: 0 < 2Larger Mana Bank: missing dep: ""Arcane Transfer""Pyrokinesis: missing dep: ""Arcane Transfer""Seance: not reachableArcane Restoration: missing dep: ""Pyrokinesis""... 2 errors not shown",decodeCraft is not defined
nori-mage-fatal-fcce8ecc78ce,121,Fatal Arcanist ETWA Sorcery,Mage,Fatal,spell_sustained,broken_current_atree,106,26,45,0.5777777777777777,false,true,https://wynnbuilder.github.io/builder/#CG0G7G2EG00wtm64wmGH7uMmecBky+FxRCTR,https://wynnbuilder.github.io/builder/#CX0G7G2EG00wtm64wmGH7uMmecCShsx-iln4,"ATree Error!Larger Mana Bank: missing dep: ""Arcane Transfer""Pyrokinesis: missing dep: ""Arcane Transfer""Snake Nest: not reachableSeance: not reachableVacuokinesis: not reachable",
nori-mage-quetzalcoatl-1d70c6924fcd,122,Quetzalcoatl Revenant Arcanist ETWA,Mage,Quetzalcoatl,spell_sustained,migrated_incomplete_atree,106,20,45,0.4444444444444444,false,false,https://wynnbuilder.github.io/builder/#CM0vAsrdm28Cpk+WhPNVM0nKEAwGx4wnjZ3V1WtNzvwqT3,https://wynnbuilder.github.io/builder/#CX0vA6gFX5GOcXw3kcXwp28coHH7QdGFkXumN0gsxh+0,,
