scope,group,roll_profile,build_count,metric,n,min,p10,p25,median,p75,p90,max,mean,sample_sd,mad
family,family_unclassified,median,36,skill_points_assigned,36,131,150,173.5,191.5,196,198.5,200,182.1667,19.3383,6
family_class,family_unclassified:archer,median,8,total_hp,8,12909,13667.1,14021.25,15972.5,18347.5,19690,22735,16541.5,3198.7169,2171.5
family_class,family_unclassified:archer,median,8,ehp,8,12315.3846,14136.156,18815.6919,24822.7179,37397.7812,43443.439,52103.2128,28180.9658,13764.8615,10851.593
family_class,family_unclassified:archer,median,8,ehp_no_agi,8,11236.9165,11991.8442,13899.2897,17786.6215,27536.366,42928.7574,50387.6073,23392.9545,14228.6997,5577.8671
family_class,family_unclassified:archer,median,8,hpr,8,-759.9,-468.21,-287.55,83.205,295.455,684.447,851.81,56.0675,521.9649,389.305
family_class,family_unclassified:archer,median,8,ehpr,8,-1513.5866,-799.4541,-278.5416,122.7096,651.0413,1515.0826,1952.1459,217.1116,1070.0601,472.8698
family_class,family_unclassified:archer,median,8,ls,8,-550,-362.4,-183,0,218,416,528,10.25,347.6689,225
family_class,family_unclassified:archer,median,8,effective_ls,8,-811.1324,-470.8756,-243.9551,0,352.5579,491.4788,759.0727,15.905,484.8354,334.765
family_class,family_unclassified:archer,median,8,mr,8,-10,-5.1,4.5,17.5,29.25,31.2,34,15.25,16.1223,12
family_class,family_unclassified:archer,median,8,total_mr,8,15,19.9,29.5,42.5,54.25,56.2,59,40.25,16.1223,12
family_class,family_unclassified:archer,median,8,ms,8,-20,-14.4,-3,6,20.25,28.5,39,7.75,19.5137,15.5
family_class,family_unclassified:archer,median,8,mana_per_hit,8,-13.0719,-5.2874,-0.4878,1.5447,9.8039,18.6275,25.4902,4.6357,11.7694,4.8972
family_class,family_unclassified:archer,median,8,total_mana,8,136,140.9,145.25,179.5,201,224.4,279,183.125,47.5498,27.5
family_class,family_unclassified:archer,median,8,walk_speed,8,-42,-35.7,-31.5,-25,0,6.6,22,-16.75,21.8877,12.5
family_class,family_unclassified:archer,median,8,attack_tier,8,-67,-30.6,-9,-3.5,-1.75,-0.7,0,-12.375,22.5765,3
family_class,family_unclassified:archer,median,8,attacks_per_second,8,0.51,0.51,0.51,0.51,0.895,2.05,2.05,0.895,0.7129,0
family_class,family_unclassified:archer,median,8,poison,8,0,0,0,0,0,1719.9,5733,716.625,2026.9216,0
family_class,family_unclassified:archer,median,8,main_attack_range_pct,8,-24,-21.2,-11,0,0,0,0,-6.5,10.0143,0
family_class,family_unclassified:archer,median,8,main_attack_range_blocks,8,5.52,7.508,8.69,11,11,11,11,9.71,2.0187,0
family_class,family_unclassified:archer,median,8,main_attack_dps,8,1050.5115,1482.5329,2402.2162,3935.5715,5171.8855,7250.664,8628.8803,4150.1409,2534.2765,1778.199
family_class,family_unclassified:archer,median,8,spell_display_avg_max,8,21795.3879,22712.8819,25525.3544,27451.6796,32937.7624,50621.474,84671.8974,34843.0608,20642.1146,4400.7222
family_class,family_unclassified:archer,median,8,spell_display_avg_sum,8,49147.6429,54755.8189,58355.452,72216.6377,78186.0532,96110.7224,127601.6623,74552.5675,24184.4915,11930.2218
family_class,family_unclassified:archer,median,8,heal_pct,8,-60,-30.6,-4.5,0,0,0,0,-9.75,21.2586,0
family_class,family_unclassified:archer,median,8,skill_points_assigned,8,148,155,171.5,187,193.5,195.3,196,180,18.213,8.5
archetype,Sharpshooter,median,6,total_hp,6,12909,13450.5,14477.75,15972.5,17791.25,20560,22735,16661,3521.863,2196.5
archetype,Sharpshooter,median,6,ehp,6,12315.3846,13615.9356,16216.2217,24534.069,34702.9321,44361.4427,52103.2128,27503.8158,15060.1863,10851.593
archetype,Sharpshooter,median,6,ehp_no_agi,6,11236.9165,11776.1505,12843.353,15120.8809,21556.965,36929.3631,50387.6073,21275.4648,14900.4245,3344.7303
archetype,Sharpshooter,median,6,hpr,6,-759.9,-551.55,-324.65,-134.5,142.275,520.755,851.81,-55.0983,549.7175,266.45
archetype,Sharpshooter,median,6,ehpr,6,-1513.5866,-1003.4919,-421.7787,-103.4615,319.0988,1188.8055,1952.1459,27.284,1145.8298,459.4312
archetype,Sharpshooter,median,6,ls,6,-282,-141,0,84,318,448,528,130.3333,289.8397,184
archetype,Sharpshooter,median,6,effective_ls,6,-216.9231,-108.4615,0,172.2393,368.7164,567.9342,759.0727,210.5707,351.5245,188.3979
archetype,Sharpshooter,median,6,mr,6,-10,-1.5,10.25,24.5,29.75,32,34,18.3333,16.9076,7.5
archetype,Sharpshooter,median,6,total_mr,6,15,23.5,35.25,49.5,54.75,57,59,43.3333,16.9076,7.5
archetype,Sharpshooter,median,6,ms,6,-12,-6,0,9.5,22.75,31.5,39,11.6667,18.8962,12
archetype,Sharpshooter,median,6,mana_per_hit,6,-1.9512,-0.9756,0,1.5447,12.5371,20.5883,25.4902,7.0525,11.0521,2.5203
archetype,Sharpshooter,median,6,total_mana,6,143,144.5,149.5,179.5,200.5,201,201,175,28.3478,21.5
archetype,Sharpshooter,median,6,walk_speed,6,-42,-37.5,-29.75,-10,0,11,22,-12.1667,23.8698,16.5
archetype,Sharpshooter,median,6,attack_tier,6,-15,-11,-6.25,-3,-1.25,-0.5,0,-4.8333,5.5648,2.5
archetype,Sharpshooter,median,6,attacks_per_second,6,0.51,0.51,0.51,0.51,1.665,2.05,2.05,1.0233,0.7953,0
archetype,Sharpshooter,median,6,poison,6,0,0,0,0,0,2866.5,5733,955.5,2340.4874,0
archetype,Sharpshooter,median,6,main_attack_range_pct,6,-20,-10,0,0,0,0,0,-3.3333,8.165,0
archetype,Sharpshooter,median,6,main_attack_range_blocks,6,8.8,9.9,11,11,11,11,11,10.6333,0.8981,0
archetype,Sharpshooter,median,6,main_attack_dps,6,1050.5115,1359.0982,1912.5287,3132.6443,4411.4427,5667.9237,6659.9999,3386.5554,2068.3257,1504.0812
archetype,Sharpshooter,median,6,spell_display_avg_max,6,21795.3879,22450.7408,24158.1593,27451.6796,30827.9042,33967.9867,36028.4354,27956.8024,5344.1555,4400.7222
archetype,Sharpshooter,median,6,spell_display_avg_sum,6,57159.3229,57956.7423,61874.0276,72216.6377,75832.3145,79662.2373,82614.6053,69945.2058,10072.1801,7445.5996
archetype,Sharpshooter,median,6,heal_pct,6,-60,-30,0,0,0,0,0,-10,24.4949,0
archetype,Sharpshooter,median,6,skill_points_assigned,6,148,162,177.5,187,192.75,194,195,181,17.7539,7
archetype_class,Sharpshooter:archer,median,6,total_hp,6,12909,13450.5,14477.75,15972.5,17791.25,20560,22735,16661,3521.863,2196.5
archetype_class,Sharpshooter:archer,median,6,ehp,6,12315.3846,13615.9356,16216.2217,24534.069,34702.9321,44361.4427,52103.2128,27503.8158,15060.1863,10851.593
archetype_class,Sharpshooter:archer,median,6,ehp_no_agi,6,11236.9165,11776.1505,12843.353,15120.8809,21556.965,36929.3631,50387.6073,21275.4648,14900.4245,3344.7303
archetype_class,Sharpshooter:archer,median,6,hpr,6,-759.9,-551.55,-324.65,-134.5,142.275,520.755,851.81,-55.0983,549.7175,266.45
archetype_class,Sharpshooter:archer,median,6,ehpr,6,-1513.5866,-1003.4919,-421.7787,-103.4615,319.0988,1188.8055,1952.1459,27.284,1145.8298,459.4312
archetype_class,Sharpshooter:archer,median,6,ls,6,-282,-141,0,84,318,448,528,130.3333,289.8397,184
archetype_class,Sharpshooter:archer,median,6,effective_ls,6,-216.9231,-108.4615,0,172.2393,368.7164,567.9342,759.0727,210.5707,351.5245,188.3979
archetype_class,Sharpshooter:archer,median,6,mr,6,-10,-1.5,10.25,24.5,29.75,32,34,18.3333,16.9076,7.5
archetype_class,Sharpshooter:archer,median,6,total_mr,6,15,23.5,35.25,49.5,54.75,57,59,43.3333,16.9076,7.5
archetype_class,Sharpshooter:archer,median,6,ms,6,-12,-6,0,9.5,22.75,31.5,39,11.6667,18.8962,12
archetype_class,Sharpshooter:archer,median,6,mana_per_hit,6,-1.9512,-0.9756,0,1.5447,12.5371,20.5883,25.4902,7.0525,11.0521,2.5203
archetype_class,Sharpshooter:archer,median,6,total_mana,6,143,144.5,149.5,179.5,200.5,201,201,175,28.3478,21.5
archetype_class,Sharpshooter:archer,median,6,walk_speed,6,-42,-37.5,-29.75,-10,0,11,22,-12.1667,23.8698,16.5
archetype_class,Sharpshooter:archer,median,6,attack_tier,6,-15,-11,-6.25,-3,-1.25,-0.5,0,-4.8333,5.5648,2.5
archetype_class,Sharpshooter:archer,median,6,attacks_per_second,6,0.51,0.51,0.51,0.51,1.665,2.05,2.05,1.0233,0.7953,0
archetype_class,Sharpshooter:archer,median,6,poison,6,0,0,0,0,0,2866.5,5733,955.5,2340.4874,0
